Vin,Div_terra,Div_float,only_pot
100,12.8,11.6,11.5
250,26.3,26.4,26.3
500,51,51,50.8
750,75.8,75.7,75.5
1000,100.6,100.3,100.1
1250,125.5,125,124.7
1500,150.1,149.5,149.2
2000,199.7,198.8,198.5
2500,249.2,248,247.4
3000,300.7,298.9,296.9
3500,350.6,348.2,346.3
4000,399.9,397.1,395.5
